library,sample,plot,mosq_sp,count,percentage
Library56_1,3556,Db_18,Ochlerotatus_sticticus,count=16;,99.3
Library56_20,3556,Db_18,Ochlerotatus_sticticus,count=44;,99.8
Library56_247,3556,Db_18,Ochlerotatus_sticticus,count=11;,99.5
Library56_39,3556,Db_0,Aedes_vexans,count=44;,99.8
Library56_7,3556,Db_18,Ochlerotatus_sticticus,count=199;,100
Library56_91,3556,Db_0,Aedes_vexans,count=34;,99.3
Library57_1,M143,Db_0,Aedes_vexans,count=11;,99.5
Library58_6,M145,Db_3,Ochlerotatus_annulipes,count=13;,99.8
Library58_6,M145,Db_3,Ochlerotatus_cantans,count=13;,99.8
Library58_6,M145,Db_3,Ochlerotatus_excrucians,count=13;,99.8
Library58_9,M145,Db_18,Ochlerotatus_sticticus,count=17;,99.8
Library59_42,M144,Db_18,Ochlerotatus_sticticus,count=10;,100
Library59_8,M144,Db_18,Ochlerotatus_sticticus,count=15;,99.8
Library60_1,M146,Db_0,Aedes_vexans,count=19;,99.8
Library61_1,M147,Db_18,Ochlerotatus_sticticus,count=42;,100
Library62_1,M149,Db_0,Aedes_vexans,count=13;,99.5
Library63_11,M153,No_match,No_match,count=12;,96
Library63_1299,M153,Db_3,Ochlerotatus_annulipes,count=14;,99.5
Library63_1299,M153,Db_3,Ochlerotatus_cantans,count=14;,99.5
Library63_1299,M153,Db_3,Ochlerotatus_excrucians,count=14;,99.5
Library63_137,M153,Db_44,No_match,count=30;,97.2
Library63_18,M153,Db_5,Culex_pipiens,count=20;,99.5
Library63_20,M153,Db_3,Ochlerotatus_annulipes,count=13;,98.8
Library63_20,M153,Db_3,Ochlerotatus_cantans,count=13;,98.8
Library63_20,M153,Db_3,Ochlerotatus_excrucians,count=13;,98.8
Library63_24,M153,Db_3,Ochlerotatus_annulipes,count=589;,99.8
Library63_24,M153,Db_3,Ochlerotatus_cantans,count=589;,99.8
Library63_24,M153,Db_3,Ochlerotatus_excrucians,count=589;,99.8
Library63_26,M153,Db_0,Aedes_vexans,count=155;,99.8
Library63_27,M153,Db_3,Ochlerotatus_annulipes,count=17;,99.1
Library63_27,M153,Db_3,Ochlerotatus_cantans,count=17;,99.1
Library63_27,M153,Db_3,Ochlerotatus_excrucians,count=17;,99.1
Library63_30,M153,Db_3,Ochlerotatus_annulipes,count=38;,99.8
Library63_30,M153,Db_3,Ochlerotatus_cantans,count=38;,99.8
Library63_30,M153,Db_3,Ochlerotatus_excrucians,count=38;,99.8
Library63_331,M153,Db_44,No_match,count=15;,0
Library63_379,M153,Db_3,Ochlerotatus_annulipes,count=15;,99.5
Library63_379,M153,Db_3,Ochlerotatus_cantans,count=15;,99.5
Library63_379,M153,Db_3,Ochlerotatus_excrucians,count=15;,99.5
Library63_517,M153,Db_3,Ochlerotatus_annulipes,count=34;,99.5
Library63_517,M153,Db_3,Ochlerotatus_cantans,count=34;,99.5
Library63_517,M153,Db_3,Ochlerotatus_excrucians,count=34;,99.5
Library63_565,M153,Db_3,Ochlerotatus_annulipes,count=10;,99.1
Library63_565,M153,Db_3,Ochlerotatus_cantans,count=10;,99.1
Library63_565,M153,Db_3,Ochlerotatus_excrucians,count=10;,99.1
Library63_58,M153,Db_3,Ochlerotatus_annulipes,count=42;,99.3
Library63_58,M153,Db_3,Ochlerotatus_cantans,count=42;,99.3
Library63_58,M153,Db_3,Ochlerotatus_excrucians,count=42;,99.3
Library63_746,M153,Db_3,Ochlerotatus_annulipes,count=25;,99.3
Library63_746,M153,Db_3,Ochlerotatus_cantans,count=25;,99.3
Library63_746,M153,Db_3,Ochlerotatus_excrucians,count=25;,99.3
Library64_3,M154,Db_0,Aedes_vexans,count=64;,99.8
Library65_136,M157,Db_0,Aedes_vexans,count=40;,99.3
Library65_153,M157,Db_0,Aedes_vexans,count=31;,99.3
Library65_2,M157,Db_18,Ochlerotatus_sticticus,count=1048;,99.8
Library65_25,M157,Db_0,Aedes_vexans,count=683;,99.8
Library65_3,M157,Db_29,Aedes_vexans,count=16;,99.3
Library65_335,M157,Db_18,Ochlerotatus_sticticus,count=58;,99.1
Library65_337,M157,No_match,No_match,count=18;,96
Library65_339,M157,Db_0,Aedes_vexans,count=11;,99.3
Library65_412,M157,Db_47,No_match,count=21;,96.7
Library65_544,M157,Db_18,Ochlerotatus_sticticus,count=14;,99.5
Library65_569,M157,Db_18,Ochlerotatus_sticticus,count=61;,99.3
Library65_74,M157,Db_0,Aedes_vexans,count=32;,99.5
Library65_823,M157,Db_0,Aedes_vexans,count=30;,99.8
Library65_904,M157,Db_47,No_match,count=16;,0
Library65_94,M157,Db_4,Aedes_cinereus,count=11;,99.3
Library66_1111,M158,Db_0,Aedes_vexans,count=17;,99.3
Library66_14,M158,Db_0,Aedes_vexans,count=636;,99.8
Library66_16,M158,Db_0,Aedes_vexans,count=39;,99.5
Library66_168,M158,Db_0,Aedes_vexans,count=46;,99.3
Library66_182,M158,Db_0,Aedes_vexans,count=49;,99.5
Library66_2,M158,Db_0,Aedes_vexans,count=235;,99.3
Library66_21,M158,Db_0,Aedes_vexans,count=73;,99.5
Library66_305,M158,Db_5,Culex_pipiens,count=39;,99.5
Library66_329,M158,Db_0,Aedes_vexans,count=12;,98.8
Library66_421,M158,Db_0,Aedes_vexans,count=10;,99.1
Library66_496,M158,Db_0,Aedes_vexans,count=10;,99.1
Library66_712,M158,Db_0,Aedes_vexans,count=10;,99.3
Library66_734,M158,Db_0,Aedes_vexans,count=12;,99.5
Library66_82,M158,Db_0,Aedes_vexans,count=41;,99.3
