sample,COI_results,16S_results,12S_results
3536,Yes,Yes,No
3537,Yes,No,No
3538,Yes,Yes,Yes
3539,Yes,Yes,No
3540,Yes,No,No
3541,Yes,Yes,Yes
3542,Yes,Yes,Yes
3543,Yes,Yes,Yes
3544,Yes,Yes,Yes
3545,No,Yes,No
3546,Yes,No,No
3547,Yes,Yes,Yes
3548,Yes,No,Yes
3549,Yes,Yes,Yes
3550,Yes,Yes,No
3551,No,No,No
3552,Yes,Yes,No
3553,Yes,Yes,Yes
3554,Yes,Yes,No
3555,No,Yes,Yes
3556,Yes,No,No
M143,Yes,Yes,No
M144,Yes,No,No
M145,Yes,No,No
M146,Yes,No,No
M147,Yes,No,No
M148,No,Yes,No
M149,Yes,No,No
M150,No,No,No
M151,No,No,No
M152,No,No,No
M153,Yes,No,No
M154,Yes,No,No
M155,No,No,No
M156,No,No,No
M157,Yes,No,No
M158,Yes,No,Yes
M159,No,No,No
M160,No,No,No
